hpi_type,hpi_flavor,frequency,level,place_name,place_id,yr,period,index_nsa,index_sa
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2002,4,166.69,165.67
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2002,5,168.19,166.23
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2002,6,169.44,167.12
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2002,7,169.95,167.50
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2002,8,170.37,168.10
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2002,9,170.73,168.88
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2002,10,170.78,169.27
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2002,11,171.23,170.56
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2002,12,170.68,170.71
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2003,1,171.19,171.95
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2003,2,171.77,172.15
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2003,3,172.88,172.54
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2003,4,174.30,173.18
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2003,5,176.06,173.91
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2003,6,176.85,174.31
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2003,7,177.78,175.13
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2003,8,178.40,175.90
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2003,9,178.48,176.50
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2003,10,178.93,177.32
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2003,11,178.81,178.16
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2003,12,178.97,179.09
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2004,1,177.89,178.84
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2004,2,179.75,180.33
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2004,3,180.87,180.66
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2004,4,182.43,181.21
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2004,5,184.31,181.88
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2004,6,185.48,182.65
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2004,7,186.23,183.35
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2004,8,186.76,183.98
